,well id,well name,analysis date,formation,sample depth,kmax,kmax-h,k90,kvert,porosity,grain density,bulk density,lithology description
2075,300F386030123451,AMOCO POINTED MOUNTAIN (B-2) F-38,9/25/1973,Dnahanni,4393.6,26.1,6.26,1.37,1.86,0.017,2850.0,2800.0,"few,sv,intgran,hfrac,sty"
2076,300B386010124000,DEVON KOTANEELEE YT B-38,11/21/1977,Dnahanni,3884.49,1.7,0.51,1.37,,0.012,2860.0,2820.0,few sv ppv i pyrite a
2077,300G016010124150,BP CANADA ENERGY COMPANY BEAVER YT G-01,8/20/1969,Dnahanni,4329.1,1.43,0.57,1.36,0.23,0.003,2830.0,2820.0,"dns,frac"
2078,300J726020122450,TEXACO BOVIE LAKE J-72,1/16/1967,Dnahanni,3085.49,0.79,0.34,1.35,0.16,0.013,,,"dol,calc,occ,vug,xl,rfrac"
2079,300J726020122451,TEXACO BOVIE LAKE J-72,1/16/1967,Dnahanni,3085.49,0.79,0.34,1.35,0.16,0.013,,,"dol,calc,occ,vug,xl,rfrac"
2080,300J726020122452,TEXACO BOVIE LAKE J-72,1/16/1967,Dnahanni,3085.49,0.79,0.34,1.35,0.16,0.013,,,"dol,calc,occ,vug,xl,rfrac"
2081,300F386030123450,AMOCO POINTED MOUNTAIN (B-2) F-38,9/25/1973,Dnahanni,4387.29,4.81,0.87,1.34,0.57,0.017,2850.0,2800.0,"few,ppv,sty"
2082,300F386030123451,AMOCO POINTED MOUNTAIN (B-2) F-38,9/25/1973,Dnahanni,4387.29,4.81,0.87,1.34,0.57,0.017,2850.0,2800.0,"few,ppv,sty"
2083,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,3916.98,2.27,0.54,1.34,1.57,0.032,2780.0,2690.0,"dol,intgran,ppv,sv,anhy,carb"
2084,300I486010124000,DEVON KOTANEELEE YT I-48,3/14/1980,Dnahanni,3955.67,1.4,0.42,1.34,0.05,0.015,2870.0,2830.0,"dol,intgran,frac"
2085,300G726230122150,CHEVRON CS EBBUTT G-72,4/8/1969,Dmanetoe,789.43,8.37,3.6,1.33,0.43,0.036,2840.0,2740.0,"lv,few,sv"
2086,300A556030123450,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3138.22,2.73,0.57,1.33,,0.037,2820.0,2710.0,"few,lv,few,sv"
2087,300A556030123451,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3138.22,2.73,0.57,1.33,,0.037,2820.0,2710.0,"few,lv,few,sv"
2088,300A556030123452,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3138.22,2.73,0.57,1.33,,0.037,2820.0,2710.0,"few,lv,few,sv"
2089,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,3940.45,2.1,0.5,1.33,0.21,0.022,2810.0,2750.0,"dol,intgran,ppv,sv,anhy,carb"
2090,300F086040124300,CPOG ET AL LABICHE F-08,2/25/1971,Dmanetoe,2044.9,1.96,0.9,1.33,0.72,0.021,2810.0,2760.0,ppv f cal
2091,300F086040124301,CPOG ET AL LABICHE F-08,2/25/1971,Dmanetoe,2044.9,1.96,0.9,1.33,0.72,0.021,2810.0,2760.0,ppv f cal
2092,300F086040124302,CPOG ET AL LABICHE F-08,2/25/1971,Dmanetoe,2044.9,1.96,0.9,1.33,0.72,0.021,2810.0,2760.0,ppv f cal
2093,300I486010124000,DEVON KOTANEELEE YT I-48,3/14/1980,Dnahanni,3735.03,1.86,0.37,1.33,0.2,0.023,2870.0,2800.0,"dol,intgran,sv,frac"
2094,300B386010124000,DEVON KOTANEELEE YT B-38,11/21/1977,Dnahanni,3893.27,2.1,0.5,1.32,1.48,0.018,2870.0,2820.0,few lv sv ppv i a
2095,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,3928.48,1.93,0.46,1.32,0.11,0.027,2780.0,2700.0,"dol,intgran,ppv,sv,carb"
2096,300B386010124000,DEVON KOTANEELEE YT B-38,11/21/1977,Dnahanni,3878.95,1.79,0.54,1.32,0.95,0.028,2820.0,2740.0,few lv sv ppv a
